Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender=F,Gender=M,Education_Level=College,Education_Level=Doctorate,Education_Level=Graduate,Education_Level=High School,Education_Level=Post-Graduate,Education_Level=Uneducated,Education_Level=Unknown,Marital_Status=Divorced,Marital_Status=Married,Marital_Status=Single,Marital_Status=Unknown,Income_Category=40K - 60K,Income_Category=60K - 80K,Income_Category=80K - 120K,Income_Category=Less than 40K,Income_Category=More than 120K,Income_Category=Unknown,Card_Category=Blue,Card_Category=Gold,Card_Category=Platinum,Card_Category=Silver,Type,Label,Narrative
32,2,17,5,1,2,1438.3,1228,210.3,1.132,2580,67,0.971,0.854,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
47,2,37,4,3,2,2168,1485,683,0.546,3828,86,0.72,0.685,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
45,2,38,6,2,3,3120,2517,603,0.736,2468,43,0.536,0.807,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,train,1,Income_Category=Unknown. Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Avg_Utilization_Ratio. Gender=F
42,2,29,3,3,1,4710,1604,3106,0.607,4663,78,0.814,0.341,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
45,3,38,6,3,1,12918,1345,11573,1.061,1562,33,1.2,0.104,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct. Total_Trans_Amt. Total_Relationship_Count. Total_Ct_Chng_Q4_Q1
51,2,41,5,2,3,14902,0,14902,0.312,2038,39,0.625,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
45,3,36,3,2,2,2589,2052,537,0.636,4133,68,0.789,0.793,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
53,2,36,4,3,1,1438.3,582,856.3,0.611,4915,92,0.769,0.405,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
43,2,36,2,2,1,34427,1613,32814,0.704,13545,112,0.672,0.047,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
34,3,36,3,6,1,7440,704,6736,0.551,2251,63,0.537,0.095,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Customer_Age. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Trans_Amt. Total_Trans_Ct. Gender=F
43,2,36,6,2,4,34516,1477,33039,0.324,1868,40,0.212,0.043,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Ct
40,4,30,4,3,6,18975,0,18975,1.028,4803,65,0.548,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,train,1,Contacts_Count_12_mon
43,3,35,2,2,3,1438.3,0,1438.3,0.694,891,28,0.4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
49,1,36,3,4,3,8136,2517,5619,0.674,2179,40,0.429,0.309,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Amt. Total_Trans_Ct. Months_Inactive_12_mon. Total_Revolving_Bal
58,4,42,3,3,4,10247,1600,8647,0.63,1754,44,0.692,0.156,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,train,0,Total_Trans_Ct
37,4,28,4,1,2,10021,1203,8818,0.93,1463,40,1,0.12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct. Months_Inactive_12_mon. Total_Ct_Chng_Q4_Q1
51,4,42,6,4,2,34516,230,34286,1.004,8629,65,0.548,0.007,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,train,1,Total_Trans_Amt
58,3,46,3,1,3,2375,1163,1212,0.917,4769,80,0.905,0.49,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
46,4,36,5,3,4,5913,1651,4262,0.79,2404,39,0.56,0.279,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
51,1,37,2,3,1,34516,2417,32099,0.947,13021,117,0.625,0.07,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,train,0,Total_Trans_Ct
26,0,13,5,2,4,2469,2410,59,0.544,1027,20,0.176,0.976,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
43,3,34,4,3,2,24868,794,24074,0.649,2510,32,0.231,0.032,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Ct
56,2,36,4,2,3,23510,1049,22461,0.438,1661,35,0.296,0.045,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
57,2,48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
39,2,33,1,3,4,1726,1476,250,0.371,1804,34,0.259,0.855,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Ct
42,3,36,3,2,2,3015,0,3015,0.927,4277,80,0.951,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
61,1,36,3,2,4,6859,2489,4370,0.65,1617,26,1,0.363,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
55,4,41,2,2,2,27560,900,26660,1.031,646,10,0.25,0.033,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
31,1,20,6,2,2,1438.3,0,1438.3,0.706,2614,49,0.531,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
57,3,50,3,2,3,4522,1861,2661,0.957,1806,38,0.727,0.412,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,0,Customer_Age. Card_Category=Blue. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Total_Amt_Chng_Q4_Q1. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Education_Level=Doctorate. Marital_Status=Married
45,3,39,1,3,3,8383,0,8383,0.809,2600,44,0.517,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
44,3,35,5,3,0,3398,2415,983,0.891,4509,93,0.661,0.711,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
33,2,24,2,3,2,4178,2463,1715,0.815,16216,107,0.814,0.59,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,0,Customer_Age. Card_Category=Blue. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Education_Level=Post-Graduate. Marital_Status=Single
56,3,46,1,2,2,1891,1134,757,0.636,5255,77,0.833,0.6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
46,1,40,6,2,2,5157,1485,3672,0.699,4417,77,0.711,0.288,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
30,0,24,6,2,2,4109,0,4109,0.949,8642,77,0.481,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,train,1,Customer_Age. Card_Category=Blue. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Marital_Status=Single. Income_Category=60K - 80K
45,3,35,3,2,6,3512,2517,995,0.597,1801,48,0.548,0.717,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,train,1,Contacts_Count_12_mon
61,0,48,3,2,4,2572,1969,603,0.644,4313,84,0.787,0.766,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
41,5,32,2,3,4,34516,2517,31999,0.465,1727,35,0.458,0.073,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,train,1,Total_Trans_Ct
49,0,29,3,3,3,1460,0,1460,0.738,2329,36,0.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
46,3,42,2,2,1,10901,1874,9027,0.608,7498,90,0.5,0.172,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
37,1,26,4,3,2,7349,2517,4832,0.877,2701,60,0.714,0.342,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,train,0,Total_Revolving_Bal
51,4,38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,train,0,Total_Trans_Ct
54,4,40,6,2,2,2532,2221,311,0.491,799,21,0.235,0.877,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,train,1,Total_Trans_Ct
50,4,41,4,3,3,6982,0,6982,1.018,4830,50,0.724,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Ct
37,1,32,6,3,3,9661,0,9661,0.926,2825,60,0.818,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Customer_Age. Card_Category=Blue. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Gender=F. Marital_Status=Single. Income_Category=Less than 40K
43,2,33,5,2,2,3933,852,3081,0.433,1489,45,0.324,0.217,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Customer_Age. Card_Category=Blue. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Total_Amt_Chng_Q4_Q1. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Gender=F. Education_Level=Graduate. Marital_Status=Married. Income_Category=Less than 40K
39,2,36,6,3,3,34516,2517,31999,1.052,7866,63,0.75,0.073,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Amt. Total_Relationship_Count. Total_Revolving_Bal
40,4,36,3,3,2,2165,1465,700,0.622,3672,64,0.73,0.677,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
50,2,32,3,1,3,10733,783,9950,0.732,3910,66,0.65,0.073,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
35,2,21,5,6,3,2157,1188,969,0.847,2111,59,0.639,0.551,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Months_Inactive_12_mon
46,2,36,3,4,3,8309,858,7451,0.888,1165,35,0.4,0.103,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
43,4,35,2,3,2,10588,503,10085,0.918,7886,70,0.75,0.048,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Amt
50,2,38,5,3,3,4772,1770,3002,0.545,4054,72,0.674,0.371,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
52,2,33,6,1,4,33182,1997,31185,0.755,1630,43,0.87,0.06,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,train,0,Total_Trans_Amt. Total_Trans_Ct. Total_Revolving_Bal
59,0,55,2,2,3,2645,1127,1518,0.623,4251,76,0.767,0.426,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
44,2,31,3,2,3,4182,2028,2154,0.658,16920,114,0.606,0.485,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
32,1,36,3,3,6,2761,0,2761,1.047,2753,43,0.654,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
60,1,48,1,5,3,28930,0,28930,0.645,2251,27,0.227,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
46,2,34,4,3,2,14310,694,13616,0.558,1254,34,0.478,0.048,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
46,2,37,1,3,3,4848,2517,2331,0.651,2353,53,0.828,0.519,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,train,1,Income_Category=Unknown. Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Gender=F. Marital_Status=Single
47,2,39,5,3,3,3899,0,3899,0.718,2182,40,0.429,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
41,5,28,2,3,3,1504,970,534,0.864,2801,51,1.217,0.645,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Relationship_Count. Months_Inactive_12_mon. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Gender=F. Marital_Status=Married
55,1,36,5,2,3,7982,897,7085,0.778,4387,71,0.511,0.112,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
36,3,31,6,1,1,5228,1443,3785,0.934,2683,62,0.938,0.276,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Relationship_Count
41,2,21,2,3,3,3624,1641,1983,0.833,15824,121,0.779,0.453,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
56,1,37,2,4,3,2339,0,2339,0.493,1542,45,0.607,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
40,3,29,6,3,2,10529,0,10529,0.729,4583,87,0.851,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
47,3,32,2,1,1,11671,1304,10367,0.491,4168,71,0.868,0.112,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
59,2,53,4,5,4,2699,2422,277,0.773,2599,43,0.433,0.897,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
53,1,36,3,3,4,14111,1034,13077,0.505,2950,64,0.684,0.073,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
52,2,43,1,2,2,34516,1588,32928,0.745,7512,81,0.688,0.046,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,train,0,Total_Trans_Ct
56,3,36,5,1,1,12211,0,12211,0.642,903,29,0.526,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,1,Total_Trans_Ct
44,1,25,3,2,4,3101,0,3101,0.66,2512,37,0.37,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
53,3,43,3,3,2,1790,1474,316,0.595,2128,40,0.429,0.823,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,train,1,Total_Trans_Ct
37,1,27,4,2,2,1793,792,1001,0.723,2374,40,0.429,0.442,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
49,2,36,6,3,1,5370,653,4717,0.782,4504,81,0.929,0.122,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
34,0,36,5,1,3,3203,2229,974,1.146,2625,52,0.625,0.696,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Revolving_Bal
33,3,25,3,2,4,4734,2517,2217,0.483,2275,55,0.897,0.532,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,train,1,Customer_Age. Income_Category=Unknown. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Gender=F. Education_Level=Post-Graduate. Marital_Status=Unknown
47,3,36,5,3,2,1591,894,697,0.786,3698,79,1.026,0.562,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
65,2,36,4,2,3,2954,2517,437,0.619,1909,28,0.474,0.852,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Ct
41,1,32,3,4,2,10682,1334,9348,0.702,7332,92,0.614,0.125,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
37,2,30,3,3,4,3328,2517,811,0.553,2196,47,0.621,0.756,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,train,1,Contacts_Count_12_mon. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Gender=F
55,3,46,2,4,2,4178,0,4178,0.882,7914,54,0.862,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,train,1,Total_Trans_Amt
54,4,36,3,5,3,1594,1411,183,0.817,1459,35,1.188,0.885,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
41,1,36,2,3,1,7106,2031,5075,0.746,16377,124,0.746,0.286,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Ct
46,4,33,1,2,1,13490,1567,11923,0.795,13159,105,0.75,0.116,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
45,3,36,3,2,2,3031,2517,514,0.409,2188,50,0.389,0.83,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Revolving_Bal
34,3,25,3,2,4,23959,2517,21442,0.926,1870,45,0.667,0.105,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,0,Customer_Age. Card_Category=Blue. Total_Relationship_Count. Months_Inactive_12_mon. Contacts_Count_12_mon. Total_Revolving_Bal. Avg_Open_To_Buy. Total_Trans_Amt. Total_Trans_Ct. Avg_Utilization_Ratio. Marital_Status=Married. Income_Category=More than 120K
46,2,28,1,1,1,7790,1921,5869,0.789,14567,131,0.617,0.247,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,train,0,Total_Trans_Ct
57,2,36,5,2,2,3251,1887,1364,1.007,3228,67,0.763,0.58,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Ct
35,2,36,5,2,4,5546,1829,3717,0.673,1770,46,1,0.33,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct. Total_Revolving_Bal
56,3,46,1,3,3,23240,1534,21706,0.971,9441,82,0.907,0.066,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1
61,0,56,2,5,4,3984,2245,1739,0.612,1821,39,0.696,0.564,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
59,2,54,1,1,3,1438.3,0,1438.3,0.61,4919,72,0.756,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Customer_Age. Total_Relationship_Count. Months_Inactive_12_mon. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct. Total_Ct_Chng_Q4_Q1. Avg_Utilization_Ratio. Gender=F. Education_Level=Post-Graduate. Marital_Status=Single
47,3,36,3,3,1,5590,0,5590,0.01,1507,32,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,train,1,Total_Trans_Ct
45,4,35,2,3,3,23542,1307,22235,0.462,2152,46,0.438,0.056,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Ct
41,4,32,2,3,3,7769,0,7769,0.943,8109,74,0.762,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Trans_Amt
