Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,Type,Label,Narrative
0.076529,0.65887,-0.11619,0.79473,-42.434,0.0,0.076529,0.51775,1.7364,0.34113,0.085359,0.1352,0.095578,0.076529,1449.1,0.25188,1.5178,0.076529,0.044074,13.285,0.87011,0.084247,0.044074,0.24387,0.32906,0.25188,9.5408,-0.21119,4.2192,0.37901,0.049072,124.37,2.9348,2.5212,0.075209,1.7364,6.0824,0.4047,0.043314,0.01173,0.12646,0.048519,93.164,79.879,1.2109,0.68307,13.886,-0.0051835,-0.0029852,0.68274,0.56603,0.34074,0.62006,0.7356,-1925.0,0.043314,0.22434,0.95641,0.18634,27.475,4.5694,118.98,3.0677,3.1561,train,0,Attr26. Attr27. Attr34
-0.02349,0.96749,-0.56377,0.32105,-214.57,-0.42412,-0.015438,0.033664,1.2073,0.03257,0.014405,-0.018592,-0.012787,-0.015438,-22874.0,-0.015957,1.0336,-0.015438,-0.012787,59.955,3.88499717247538,0.024659,-0.019457,-0.013915,-0.42066,-0.02428,0.54035,-0.76869,3.8304,0.79291,0.0047919,291.74,1.5533,1.3332,-0.072319,1.32,105.08536259698622,0.03257,-0.0599,0.020326,1.3078,0.020425,75.492,15.538,-0.11845,0.25916,56.121,0.024659,0.020425,0.27555,0.83035,0.64378,0.044409,0.044409,-3815.0,0.13953,-0.72123,0.79471,0.0,6.0879,23.491,251.03,1.454,1.6462,train,1,Attr26. Attr27. Attr34
0.004188,0.35009,0.14516,1.4346,27.896,-0.012998,0.000374,1.7084,1.0022,0.59808,0.000374,0.00112,0.042751,0.000374,2273.1,0.16057,2.8564,0.000374,0.000284,13.163,1.1445,0.030309,0.003185,-0.009293,0.59808,0.17147,0.23101,0.27869,5.5331,0.16001,0.000284,92.919,3.9281,0.086574,0.030309,1.3491,26.831,0.61417,0.02305,0.41942,0.1336,0.02305,94.121,80.958,0.088325,1.2926,13.193,-0.025531,-0.019417,1.3687,0.334,0.25457,1.1483,1.1792,49543.0,0.002216,0.007003,0.99778,0.026904,27.729,4.5085,92.713,3.9369,2.5246,train,0,Attr26. Attr27. Attr34
0.011742,2.8892,-2.4228,0.14491,-157.57,-4.0195,0.011742,-0.65389,5.9691,-1.8892,0.066774,0.0041442,0.0019671,0.011742,89811.0,0.0040641,0.34611,0.011742,0.0019671,10.944,1.1652,0.065049,0.0019671,-0.27458,-3.7497,0.0040641,1.182,-4.1104,3.3738,0.48218,0.0051519,193.29,2.0986,2.0581,0.028376,6.0114,105.08536259698622,-1.8892,0.0047538,0.004183,1.4805,0.010897,24.383,13.439,0.065608,0.067348,10.986,0.065049,0.010897,0.14211,2.8334,0.4765,-3.2052,-3.2052,-5729.9,0.10363,-0.0062153,0.89099,0.0,33.352,27.16,173.26,2.1067,10.127,train,1,Attr26. Attr27. Attr34
-0.11552,1.7498,-1.2503,0.28542,-698.78,-0.070217,-0.11237,-0.7581,1.0186,-1.3265,-0.11237,-0.064218,-0.13623,-0.11237,-5683.8,-0.064218,0.57151,-0.11237,-0.13623,140.32,1.0,0.023336,-0.14005,-0.15722,-1.3265,-0.066019,0.28818,-2.4978,4.855,2.1102,-0.13623,788.71,0.46278,0.013337,0.023336,0.86411,105.08536259698622,-1.3265,0.028292,0.0077283,2.4652,0.028292,215.01,74.692,-0.36429,0.10419,142.94,0.023336,0.028292,0.28542,1.7498,2.1608,-2.6499,-2.6499,-89536.0,0.018276,0.087085,0.98172,0.0,2.6011,4.8867,774.29,0.4714,1.6477,train,1,Attr26. Attr27. Attr34
0.20518,0.25935,0.47575,2.8349,23.142,0.20518,0.20638,2.8557,1.1561,0.74062,0.20638,0.79596,0.1464,0.20638,409.24,0.89189,3.8558,0.20638,0.13062,89.976,1.592,0.20784,0.12986,0.20638,0.74062,0.88727,1107.8963143091858,1.7956,4.6118,0.14453,0.13062,69.248,5.2709,0.8014,0.20784,1.5803,4874.1,0.7407,0.13155,0.11965,0.036629,0.13155,162.64,72.661,0.5268,1.3327,104.02,0.18291,0.11577,2.8341,0.25928,0.18972,2.7953,2.7956,19461.0,0.13503,0.27703,0.86497,9.5722e-05,4.0566,5.0233,59.898,6.0937,5.9633,train,1,Attr27
-0.69383,4.0273,-3.2991,0.020205,-669.43,-2.505,-0.69383,-0.75168,1.3945,-3.0272,-0.42458,-0.20606,-0.46361,-0.69383,-2273.8,-0.16053,0.24831,-0.69383,-0.49756,0.71566,3.88499717247538,-0.42458,-0.49756,-0.69383,-3.175,-0.16053,-1.5769,-3.54,2.6085,2.8803,-0.32956,674.64,0.5414,0.45265,-0.42729,1.3984,0.098796,-2.3663,-0.30642,0.003197,-0.35586,-0.30448,14.99,14.275,-253.77,0.004009,0.54743,-0.47192,-0.33843,0.016893,3.3672,1.8471,-3.2482,-2.539,-1339.4,-0.30642,0.22919,1.3036,-0.21833,510.02,25.57,881.36,0.41413,1.4962,train,1,Attr26. Attr27. Attr34
0.030179,0.53088,0.097654,1.1991,-117.99,-0.11638,0.030891,0.64021,1.0469,0.33987,0.030891,0.062969,0.05914,0.030891,2931.6,0.12451,1.8837,0.030891,0.027639,118.34,1.4352,0.051794,0.027002,-0.10146,0.33987,0.12316,0.48515,0.23716,4.0116,0.35694,0.027639,167.72,2.1762,0.097564,0.051794,1.1213,5.6048,0.38017,0.046342,0.41909,0.20061,0.046342,124.96,6.6223,0.083284,0.46042,123.89,0.016588,0.014842,1.108,0.49058,0.45952,0.8254,0.92327,1003.1,0.044797,0.088795,0.9552,0.11857,3.0844,55.117,160.21,2.2782,2.7143,train,0,Attr26. Attr27. Attr34
0.015016,0.79303,0.14793,1.2664,-23.166,0.0,0.018734,0.26099,2.6889,0.20697,0.048521,0.033734,0.024156,0.018734,4456.3,0.081906,1.261,0.018734,0.006967,24.338,2.7946,0.035303,0.005584,0.02833,0.037447,0.077217,1.1852,0.49853,3.833,0.29492,0.014675,76.36,4.78,3.3474,0.034377,2.6889,2.2203,0.44297,0.012785,0.24574,0.32426,0.013129,76.939,52.601,0.083747,0.94351,24.654,-0.010917,-0.00406,0.88682,0.55535,0.20921,0.69752,1.4928,1007.0,0.012785,0.072549,0.99307,1.1402,14.997,6.9391,75.384,4.8419,9.062,train,0,Attr26. Attr27. Attr34
0.013685,0.38706,0.13673,1.3533,-1.4646,0.020173,0.02421,1.3323,1.0193,0.51568,0.02421,0.062549,0.035722,0.02421,1482.7,0.24617,2.5836,0.02421,0.009077,18.848,1.035,0.031643,0.005131,0.039998,0.51568,0.21898,0.12092,0.28712,4.5788,0.14456,0.009077,53.987,6.7609,0.081751,0.031643,2.6785,105.08536259698622,0.51568,0.011863,0.027966,0.12389,0.011863,70.194,51.346,0.099354,0.99739,19.212,-0.039431,-0.014783,1.3533,0.38706,0.14791,1.0829,1.0829,5183.5,0.018922,0.026538,0.98108,0.0,19.365,7.1086,52.966,6.8913,5.6013,train,0,Attr26. Attr27. Attr34
0.24664,0.03869,0.45335,12.717,83.648,0.16487,0.24664,24.846,0.96092,0.96131,0.24782,6.3747,0.26037,0.24664,56.444,6.4666,25.846,0.24664,0.25667,121.6,0.9783,0.0,0.25667,0.80025,0.85305,6.4666,0.0,0.8925,3.7123,-0.049448,0.51334,24.75,14.747,14.747,0.0097833,0.96092,105.08536259698622,0.96131,0.010181,2.2664,0.36274,0.0,153.59,31.996,0.77046,4.4436,204.78,-0.0035553,-0.0036999,12.717,0.03869,0.067808,1.8925,1.8925,2337.4,0.40621,0.25657,0.59622,0.0,3.0018,11.408,14.696,24.836,1.8917,train,0,Attr26. Attr27. Attr34
-0.086188,0.52817,-0.18068,0.63968,-186.56,-0.086188,-0.086188,0.79145,0.87563,0.41802,-0.086188,-0.17188,-0.040331,-0.086188,-6258.5,-0.058321,1.8933,-0.086188,-0.11285,107.88,1.1758,-0.061358,-0.11285,-0.086188,0.41802,-0.058321,1107.8963143091858,-0.266,4.1315,0.68592,-0.11285,209.83,1.7395,-0.11617,-0.061358,0.82173,3.555,0.44475,-0.080337,0.04226,-2.9066,-0.080337,143.16,35.286,-0.38181,0.18951,94.461,-0.11674,-0.15285,0.6073,0.50144,0.57488,0.61542,0.65477,-2445.5,-0.14203,-0.20618,1.142,0.063945,3.3835,10.344,239.64,1.5231,1.1244,train,1,Attr27
0.11326,0.25636,0.65005,3.5357,160.57,0.29361,0.14309,1.3612,1.1646,0.34896,0.14309,0.55813,0.16748,0.14309,621.67,0.58713,3.9007,0.14309,0.15921,0.02392,1.024,0.12872,0.12602,0.37577,0.34896,0.47079,1.668,6.9465,5.1458,0.11456,0.15921,121.25,3.0102,0.5021,0.12872,0.91657,105.08536259698622,0.34896,0.14322,1.8041,0.061904,0.14322,180.28,180.26,1923.0,3.5354,0.027857,0.12129,0.13495,3.5357,0.25636,0.3322,3.729,3.729,90945.0,0.14134,0.32457,0.85866,0.0,15259.0,2.0249,104.12,3.5057,9.604,train,0,Attr26. Attr27. Attr34
0.047195,0.30712,0.3979,3.1763,56.016,0.0,0.071697,2.2561,1.5825,0.69287,0.072039,0.39214,0.045308,0.071697,1563.5,0.23345,3.2561,0.071697,0.045308,34.59,0.8514,0.031843,0.029824,0.28616,0.034495,0.15367,93.473,0.94907,4.8461,0.12963,0.045523,45.58,8.5441,5.0866,0.036433,1.6342,105.08536259698622,0.69287,0.023023,0.58439,0.32149,0.020123,109.3,74.714,0.3147,1.4046,35.04,0.031843,0.020123,1.8909,0.18284,0.11704,1.6526,1.6526,27915.0,0.074771,0.068115,0.90581,0.0,10.552,4.8853,42.172,8.6551,3.7745,train,1,Attr26. Attr27. Attr34
0.025155,0.65774,-0.59496,0.090297,-1436.0,0.025155,0.025155,0.47127,0.84247,0.30997,0.025155,0.038462,0.26997,0.025155,6562.9,0.055616,1.5203,0.025155,0.18565,0.0,0.65993,0.033784,0.18565,0.025155,0.30997,0.055616,1107.8963143091858,-0.6323,4.0719,4.7962,0.18565,1484.2,0.24592,0.051363,0.033784,0.47682,15.828,0.3137,0.24933,0.013598,0.47831,0.24933,135.13,135.13,14.825015691469536,0.090297,0.0,0.022357,0.165,0.089785,0.65401,4.0664,0.32943,0.3334,-7021.1,-0.18699,0.081151,1.187,0.012037,448.0858225108453,2.7012,1761.8,0.20718,0.144,train,1,Attr27
0.23431,2.527,-2.1585,0.13921,-530.99,-1.9357,0.23431,-0.60427,1.8527,-1.527,0.24384,0.093443,0.14255,0.23431,3492.5,0.10451,0.39573,0.23431,0.12647,28.402,0.81638,0.22875,0.12647,0.26411,-1.7017,0.10451,24.0,-3.316,3.4011,1.3612,0.13076,566.38,0.64444,0.63948,0.2363,1.8527,105.08536259698622,-1.527,0.12755,0.016788,0.32581,0.12347,60.481,32.079,1.6253,0.081723,32.562,0.19897,0.1074,0.13814,2.5075,1.5517,-2.3459,-2.3459,-5435.0,0.12776,-0.15345,0.87582,0.0,12.851,11.378,494.02,0.73883,2.8462,train,0,Attr26. Attr27. Attr34
-0.030133,0.18781,-0.0070077,0.95708,-10.063,0.0,-0.030133,4.3209,1.4163,0.81149,-0.030133,-0.18455,-0.021277,-0.030133,-2274.9,-0.16045,5.3246,-0.030133,-0.021277,6.6823,3.88499717247538,-0.032235,-0.021277,-0.030133,0.77645,-0.16045,1107.8963143091858,-0.0083056,3.1544,0.1242,-0.021277,48.376,8.9056,7.7425,-0.024527,1.4233,6.0,0.83322,-0.017318,0.12017,-0.1942,-0.022761,35.218,28.535,-1.1622,0.27897,6.5084,-0.032235,-0.022761,0.83209,0.16328,0.11229,0.96179,0.98754,-10.0,0.13013,-0.037133,0.87494,0.02677,54.622,12.791,42.081,8.6738,1.6786,train,1,Attr27
0.027885,0.32458,0.25564,1.7969,-77.682,0.027885,0.039917,1.3704,1.0207,0.4448,0.039917,0.12442,0.12103,0.039917,1172.5,0.31131,3.0809,0.039917,0.04781,59.741,1.0079,0.05306,0.0334,0.039917,0.4448,0.27425,1107.8963143091858,0.60358,4.6428,0.37524,0.04781,143.15,2.5497,0.16347,0.05306,0.89824,116.7,0.44857,0.063552,0.91518,0.093452,0.063552,123.66,63.917,0.20406,1.3709,60.977,-0.008069,-0.009665,1.776,0.32081,0.3922,1.0502,1.0591,11232.0,0.020272,0.062692,0.97973,0.008473,6.1097,5.7105,140.25,2.6025,1.9712,train,1,Attr27
0.042553,0.1974,0.044917,1.2992,-4320.0,0.0,0.049645,4.0659,1.9078,0.8026,0.054374,0.33071,0.055143,0.049645,684.89,0.53293,5.0659,0.049645,0.026022,5.8798,3.88499717247538,0.054374,0.022305,0.049645,0.77423,0.49701,11.5,0.0558,2.9274,0.10347,0.028501,28.474,12.85,9.7725,-0.016548,1.9078,105.08536259698622,0.8026,-0.0086741,0.0,0.059857,0.028501,37.314,31.434,1.3846,1.0945,5.815,-0.001182,-0.00061958,0.98802,0.15012,0.077819,0.99706,0.99706,38.0,-0.0086741,0.053019,1.0136,0.0,62.077,11.612,28.721,12.709,2.37,train,0,Attr26. Attr27. Attr34
0.006794,0.90773,-0.18898,0.62278,-49.274,0.006794,0.021552,0.041581,1.0404,0.037744,0.021552,0.043019,0.016133,0.021552,8275.6,0.044106,1.1016,0.021552,0.008685,19.656,3.88499717247538,0.057611,0.002738,0.021552,0.037744,0.027847,0.24152,-0.27468,3.9004,0.36407,0.008685,76.66,4.7613,0.063467,0.057611,2.4932,0.4385,0.44449,0.023215,0.01112,0.39218,0.023215,45.07,25.414,0.050834,0.35602,20.45,0.039127,0.015766,0.34372,0.50098,0.21003,0.054861,0.64607,-1502.4,0.038802,0.17999,0.9612,10.776,18.569,14.362,73.685,4.9535,3.607,train,0,Attr26. Attr27. Attr34
-0.036488,0.87399,-0.25713,0.67859,-131.97,-0.036488,-0.042209,0.14413,1.0132,0.12597,-0.042209,-0.052762,0.00050377,-0.042209,411520.0,0.00088696,1.1442,-0.042209,-0.02743,67.123,1.0501,0.0033031,-0.023712,-0.042209,0.12597,0.0074327,1107.8963143091858,-0.56254,4.4116,0.56775,-0.02743,192.26,1.8984,0.0037793,0.0033031,1.5461,3.5123,0.19996,0.0021465,0.0015019,0.62077,0.0021465,128.48,61.359,-0.12894,0.32485,68.009,-0.039681,-0.025787,0.62114,0.8,0.52675,0.27559,0.43746,-6634.0,0.013022,-0.28966,0.98698,0.58738,5.4377,5.9486,189.76,1.9235,3.3665,train,1,Attr27
0.066077,0.41998,0.15596,1.3714,12.553,0.0,0.086571,1.381,3.9735,0.57999,0.092314,0.20613,0.026761,0.086571,1441.6,0.25319,2.3811,0.086571,0.021787,0.0,3.88499717247538,0.092262,0.016629,0.086571,0.44685,0.20439,16.064,0.36779,2.5832,0.092825,0.021787,39.544,9.2443,9.2443,0.097013,3.9747,105.08536259698622,0.57999,0.024415,0.17244,0.12497,0.023219,46.253,46.253,14.825015691469536,1.3714,0.0,0.072499,0.018246,1.3714,0.41998,0.10817,1.3677,1.3677,59.74,0.024415,0.11393,0.97823,0.0,448.0858225108453,7.8914,38.579,9.4611,9.3703,train,1,Attr26. Attr27. Attr34
0.26114,0.23988,0.41786,2.7419,76.423,0.0,0.32887,3.1687,2.1811,0.76012,0.33353,1.371,0.16809,0.32887,238.82,1.5283,4.1687,0.32887,0.15078,5.5052,1.265,0.33304,0.11973,0.47859,0.73586,1.246,71.5,1.2209,4.013,0.005339,0.15221,47.699,7.6521,7.6521,0.34546,2.1811,105.08536259698622,0.76012,0.15839,0.96521,0.021565,0.1527,71.324,65.819,7.9381,2.6048,6.5413,0.29529,0.13539,2.7419,0.23988,0.13068,2.2209,2.2209,4306.0,0.15839,0.34355,0.84967,0.0,66.301,5.5455,40.144,9.0922,6.3726,train,0,Attr26. Attr27. Attr34
0.10537,0.36607,0.54536,2.4898,71.928,0.0,0.10537,1.7317,2.6056,0.63393,0.10537,0.28785,0.097338,0.10537,526.84,0.69282,2.7317,0.10537,0.040442,26.366,0.90247,0.0,0.040442,0.25384,0.58217,0.69282,1107.8963143091858,6.1571,3.4066,0.12331,0.084467,70.055,5.2102,5.2102,0.007434,2.6056,105.08536259698622,0.63393,0.0028531,0.13786,0.082311,0.0,120.61,94.242,0.55985,1.9756,36.018,-0.14825,-0.056897,2.4898,0.36607,0.19193,7.1571,7.1571,1390.9,0.26798,0.16622,0.73205,0.0,13.844,3.873,51.281,7.1176,29.417,train,0,Attr27
0.10875,0.46977,0.20273,1.5752,-7.4427,0.10875,0.14211,1.0931,1.1174,0.51351,0.14211,0.40323,0.127,0.14211,993.15,0.36752,2.1287,0.14211,0.10453,59.417,1.4775,0.15125,0.079997,0.14211,0.51351,0.29651,1107.8963143091858,0.45577,4.3016,0.32231,0.10453,105.73,3.4521,0.32196,0.15125,1.3886,2.8451,0.63085,0.11125,0.10655,0.084959,0.11125,138.97,79.553,0.49143,0.94729,66.394,0.12071,0.08879,1.1818,0.35242,0.28968,1.1545,1.4183,4060.0,0.10508,0.21179,0.89492,0.22851,6.1431,4.5881,94.622,3.8575,3.0564,train,1,Attr27
0.049806,0.18697,0.079378,1.4353,1.1087,0.26426,0.049806,4.3485,1.1298,0.81303,0.060709,0.27314,0.08072,0.049806,748.3,0.48777,5.3485,0.049806,0.044084,23.711,0.7925,0.05983,0.044084,0.45006,0.36341,0.48777,5.4876,0.10752,4.2273,0.14982,0.044637,61.994,5.8877,5.7421,0.056213,1.1298,105.08536259698622,0.81303,0.049755,0.11248,0.061571,0.052956,77.928,54.216,0.6786,1.0328,24.953,0.018438,0.01632,1.3998,0.18235,0.16985,1.1013,1.1013,1339.6,0.049755,0.06126,0.95609,0.0,15.393,6.7323,58.91,6.1959,1.5303,train,0,Attr26. Attr27. Attr34
-0.20703,0.83463,0.025292,1.0461,-33.16,-0.25829,-0.20703,0.19814,1.6845,0.16537,-0.12713,-0.37736,-0.1229,-0.20703,-1471.5,-0.24805,1.1981,-0.20703,-0.1229,40.77,1.0052,-0.15263,-0.1229,-1.1518,-0.32973,-0.24805,-1.7939,0.059359,4.7015,0.4928,-0.092989,132.23,3.4547,2.2709,-0.1226,1.7734,2.0249,0.35587,-0.072781,0.029538,-0.18228,-0.090604,120.84,80.074,-1.1003,0.3725,36.235,-0.15263,-0.090604,0.68763,0.54863,0.28946,0.38812,0.83522,1272.0,0.10098,-1.2519,0.90371,1.152,8.9528,4.5583,118.87,3.0705,3.9535,train,1,Attr26. Attr27. Attr34
-0.35399,0.24477,0.61735,3.571,5.4381,0.0,-0.35399,3.0854,1.5662,0.75523,-0.35399,-1.4742,-0.21316,-0.35399,-267.61,-1.3639,4.0854,-0.35399,-0.22601,137.1,3.88499717247538,-0.37026,-0.22601,-0.35399,0.3598,-1.3639,1107.8963143091858,4.3315,3.412,0.087043,-0.22601,45.903,8.0919,7.9383,-0.34314,1.5891,105.08536259698622,0.75523,-0.21909,0.45161,-0.023304,-0.2364,174.56,37.457,-0.60171,2.9016,110.51,-0.3904,-0.24926,3.5032,0.24012,0.12358,5.2989,5.2989,1594.0,-0.21909,-0.46872,1.2228,0.0,2.6623,9.7446,55.959,6.5226,10.989,train,1,Attr27
0.13259,0.58499,0.34735,1.6225,105.8,0.0,0.16403,0.70939,1.2427,0.41498,0.18539,0.29398,0.132,0.16403,1301.7,0.28041,1.7094,0.16403,0.132,8.6612,1.4736,0.17288,0.1067,0.41394,0.29709,0.22666,14.014,3.6707,4.5141,0.1049,0.13352,212.08,1.9206,1.8319,0.17181,1.2481,105.08536259698622,0.41498,0.13826,0.82003,0.11279,0.13912,131.52,122.86,4.4965,0.87287,10.043,0.17288,0.13912,1.5476,0.55798,0.52067,4.3853,4.3853,11346.0,0.22722,0.31951,0.7701,0.0,42.142,2.9709,163.89,2.2271,13.132,train,1,Attr26. Attr27. Attr34
